avg_vote,metascore,tomatometer_score,audience_score,adjusted_budget,director_imdb,director_metascore,director_tomatometer,director_audience,writer_imdb,writer_metascore,writer_tomatometer,writer_audience,season_published_2,season_published_3,season_published_4,season_published_5,season_published_6,season_published_7,season_published_8,season_published_9,season_published_10,season_published_11,season_published_12,"genre_Action, Adventure","genre_Action, Adventure, Biography","genre_Action, Adventure, Comedy","genre_Action, Adventure, Crime","genre_Action, Adventure, Drama","genre_Action, Adventure, Family","genre_Action, Adventure, Fantasy","genre_Action, Adventure, History","genre_Action, Adventure, Horror","genre_Action, Adventure, Mystery","genre_Action, Adventure, Romance","genre_Action, Adventure, Sci-Fi","genre_Action, Adventure, Thriller","genre_Action, Adventure, War","genre_Action, Adventure, Western","genre_Action, Biography, Comedy","genre_Action, Biography, Crime","genre_Action, Biography, Drama","genre_Action, Comedy","genre_Action, Comedy, Crime","genre_Action, Comedy, Drama","genre_Action, Comedy, Family","genre_Action, Comedy, Fantasy","genre_Action, Comedy, Horror","genre_Action, Comedy, Music","genre_Action, Comedy, Romance","genre_Action, Comedy, Sci-Fi","genre_Action, Comedy, Sport","genre_Action, Comedy, Thriller","genre_Action, Comedy, War","genre_Action, Crime","genre_Action, Crime, Drama","genre_Action, Crime, Fantasy","genre_Action, Crime, Horror","genre_Action, Crime, Mystery","genre_Action, Crime, Romance","genre_Action, Crime, Sci-Fi","genre_Action, Crime, Thriller","genre_Action, Drama","genre_Action, Drama, Crime","genre_Action, Drama, Family","genre_Action, Drama, Fantasy","genre_Action, Drama, History","genre_Action, Drama, Horror","genre_Action, Drama, Mystery","genre_Action, Drama, Romance","genre_Action, Drama, Sci-Fi","genre_Action, Drama, Sport","genre_Action, Drama, Thriller","genre_Action, Drama, War","genre_Action, Drama, Western","genre_Action, Fantasy","genre_Action, Fantasy, Horror","genre_Action, Fantasy, Thriller","genre_Action, Fantasy, Western","genre_Action, Horror","genre_Action, Horror, Mystery","genre_Action, Horror, Sci-Fi","genre_Action, Horror, Thriller","genre_Action, Mystery, Sci-Fi","genre_Action, Mystery, Thriller","genre_Action, Romance, Thriller","genre_Action, Sci-Fi","genre_Action, Sci-Fi, Sport","genre_Action, Sci-Fi, Thriller","genre_Action, Sport","genre_Action, Thriller","genre_Action, War","genre_Action, Western","genre_Adventure, Biography, Crime","genre_Adventure, Biography, Drama","genre_Adventure, Comedy","genre_Adventure, Comedy, Crime","genre_Adventure, Comedy, Drama","genre_Adventure, Comedy, Family","genre_Adventure, Comedy, Fantasy","genre_Adventure, Comedy, Horror","genre_Adventure, Comedy, Music","genre_Adventure, Comedy, Musical","genre_Adventure, Comedy, Mystery","genre_Adventure, Comedy, Romance","genre_Adventure, Comedy, Sci-Fi","genre_Adventure, Crime, Drama","genre_Adventure, Drama","genre_Adventure, Drama, Family","genre_Adventure, Drama, Fantasy","genre_Adventure, Drama, History","genre_Adventure, Drama, Horror","genre_Adventure, Drama, Musical","genre_Adventure, Drama, Mystery","genre_Adventure, Drama, Romance","genre_Adventure, Drama, Sci-Fi","genre_Adventure, Drama, Thriller","genre_Adventure, Drama, War","genre_Adventure, Family","genre_Adventure, Family, Fantasy","genre_Adventure, Family, Romance","genre_Adventure, Family, Sci-Fi","genre_Adventure, Fantasy","genre_Adventure, Horror","genre_Adventure, Mystery, Sci-Fi","genre_Adventure, Sci-Fi","genre_Adventure, Sci-Fi, Thriller","genre_Adventure, Thriller, Western","genre_Animation, Action, Adventure","genre_Animation, Action, Comedy","genre_Animation, Action, Sci-Fi","genre_Animation, Adventure, Comedy","genre_Animation, Adventure, Crime","genre_Animation, Adventure, Drama","genre_Animation, Adventure, Family","genre_Animation, Biography, Drama","genre_Animation, Comedy, Drama","genre_Animation, Comedy, Family","genre_Animation, Comedy, Fantasy","genre_Animation, Crime, Drama","genre_Animation, Drama, Family","genre_Animation, Drama, Fantasy","genre_Animation, Family","genre_Animation, Family, Fantasy","genre_Biography, Comedy, Crime","genre_Biography, Comedy, Drama","genre_Biography, Crime, Drama","genre_Biography, Drama","genre_Biography, Drama, Family","genre_Biography, Drama, Fantasy","genre_Biography, Drama, History","genre_Biography, Drama, Music","genre_Biography, Drama, Musical","genre_Biography, Drama, Romance","genre_Biography, Drama, Sport","genre_Biography, Drama, Thriller","genre_Biography, Drama, War","genre_Biography, Family, Sport",genre_Comedy,"genre_Comedy, Action, Sci-Fi","genre_Comedy, Crime","genre_Comedy, Crime, Drama","genre_Comedy, Crime, Family","genre_Comedy, Crime, Fantasy","genre_Comedy, Crime, Musical","genre_Comedy, Crime, Mystery","genre_Comedy, Crime, Romance","genre_Comedy, Crime, Sport","genre_Comedy, Crime, Thriller","genre_Comedy, Drama","genre_Comedy, Drama, Family","genre_Comedy, Drama, Fantasy","genre_Comedy, Drama, History","genre_Comedy, Drama, Horror","genre_Comedy, Drama, Music","genre_Comedy, Drama, Musical","genre_Comedy, Drama, Mystery","genre_Comedy, Drama, Romance","genre_Comedy, Drama, Sci-Fi","genre_Comedy, Drama, Sport","genre_Comedy, Drama, Thriller","genre_Comedy, Drama, War","genre_Comedy, Family","genre_Comedy, Family, Fantasy","genre_Comedy, Family, Music","genre_Comedy, Family, Romance","genre_Comedy, Family, Sci-Fi","genre_Comedy, Family, Sport","genre_Comedy, Fantasy","genre_Comedy, Fantasy, Horror","genre_Comedy, Fantasy, Romance","genre_Comedy, Fantasy, Sci-Fi","genre_Comedy, Fantasy, Thriller","genre_Comedy, Horror","genre_Comedy, Horror, Mystery","genre_Comedy, Horror, Romance","genre_Comedy, Horror, Sci-Fi","genre_Comedy, Horror, Thriller","genre_Comedy, Music","genre_Comedy, Music, Drama","genre_Comedy, Music, Romance","genre_Comedy, Music, War","genre_Comedy, Musical","genre_Comedy, Musical, Romance","genre_Comedy, Mystery, Sci-Fi","genre_Comedy, Romance","genre_Comedy, Romance, Drama","genre_Comedy, Romance, Sci-Fi","genre_Comedy, Romance, Sport","genre_Comedy, Romance, Thriller","genre_Comedy, Sci-Fi","genre_Comedy, Sport","genre_Comedy, Thriller","genre_Comedy, War","genre_Comedy, Western","genre_Crime, Drama","genre_Crime, Drama, Action","genre_Crime, Drama, Fantasy","genre_Crime, Drama, History","genre_Crime, Drama, Horror","genre_Crime, Drama, Music","genre_Crime, Drama, Musical","genre_Crime, Drama, Mystery","genre_Crime, Drama, Romance","genre_Crime, Drama, Thriller","genre_Crime, Horror","genre_Crime, Horror, Mystery","genre_Crime, Horror, Thriller","genre_Crime, Mystery, Thriller","genre_Crime, Romance, Thriller","genre_Crime, Thriller","genre_Crime, Thriller, Drama","genre_Crime, Thriller, War",genre_Drama,"genre_Drama, Comedy","genre_Drama, Comedy, Crime","genre_Drama, Comedy, Sci-Fi","genre_Drama, Family","genre_Drama, Family, Fantasy","genre_Drama, Family, History","genre_Drama, Family, Music","genre_Drama, Family, Musical","genre_Drama, Family, Romance","genre_Drama, Family, Sport","genre_Drama, Fantasy","genre_Drama, Fantasy, History","genre_Drama, Fantasy, Horror","genre_Drama, Fantasy, Music","genre_Drama, Fantasy, Mystery","genre_Drama, Fantasy, Romance","genre_Drama, Fantasy, Sci-Fi","genre_Drama, Fantasy, Sport","genre_Drama, Fantasy, Thriller","genre_Drama, Fantasy, War","genre_Drama, Fantasy, Western","genre_Drama, History","genre_Drama, History, Horror","genre_Drama, History, Mystery","genre_Drama, History, Romance","genre_Drama, History, Sport","genre_Drama, History, Thriller","genre_Drama, History, War","genre_Drama, Horror","genre_Drama, Horror, Musical","genre_Drama, Horror, Mystery","genre_Drama, Horror, Romance","genre_Drama, Horror, Sci-Fi","genre_Drama, Horror, Thriller","genre_Drama, Music","genre_Drama, Music, Musical","genre_Drama, Music, Romance","genre_Drama, Musical","genre_Drama, Musical, Romance","genre_Drama, Mystery","genre_Drama, Mystery, Romance","genre_Drama, Mystery, Sci-Fi","genre_Drama, Mystery, Thriller","genre_Drama, Mystery, War","genre_Drama, Romance","genre_Drama, Romance, Comedy","genre_Drama, Romance, Sci-Fi","genre_Drama, Romance, Sport","genre_Drama, Romance, Thriller","genre_Drama, Romance, War","genre_Drama, Romance, Western","genre_Drama, Sci-Fi","genre_Drama, Sci-Fi, Thriller","genre_Drama, Sport","genre_Drama, Sport, Thriller","genre_Drama, Thriller","genre_Drama, Thriller, Crime","genre_Drama, Thriller, War","genre_Drama, War","genre_Drama, Western","genre_Family, Comedy","genre_Family, Comedy, Action","genre_Family, Drama","genre_Family, Music, Musical","genre_Family, Romance, Sport","genre_Fantasy, Horror","genre_Fantasy, Horror, Mystery","genre_Fantasy, Horror, Sci-Fi","genre_Fantasy, Horror, Thriller","genre_Fantasy, Mystery, Romance",genre_Horror,"genre_Horror, Music, Thriller","genre_Horror, Musical, Sci-Fi","genre_Horror, Mystery","genre_Horror, Mystery, Sci-Fi","genre_Horror, Mystery, Thriller","genre_Horror, Sci-Fi","genre_Horror, Sci-Fi, Thriller","genre_Horror, Thriller",genre_Music,"genre_Musical, Romance","genre_Mystery, Romance, Thriller","genre_Mystery, Sci-Fi, Thriller","genre_Mystery, Thriller",genre_Romance,"genre_Romance, Comedy, Drama","genre_Romance, Comedy, Musical","genre_Romance, Sci-Fi, Thriller","genre_Romance, Thriller","genre_Sci-Fi, Thriller",genre_Thriller,"genre_Thriller, Drama","genre_Thriller, Western"
6.6,75.0,90.0,75.0,14775299.081084205,6.6,75.0,90.0,75.0,6.949999999999999,69.5,86.5,80.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,58.0,65.0,31.0,22827114.384522244,6.25,63.25,71.75,59.75,5.0,58.0,65.0,31.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.5,60.0,61.0,45.0,2743607.189309615,6.5,60.0,61.0,45.0,6.5,60.0,61.0,45.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.1,20.0,5.0,15.0,1113517.7748547436,4.1,20.0,5.0,15.0,4.1,20.0,5.0,15.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.9,48.0,73.0,47.0,6584657.254343077,5.9,48.0,73.0,47.0,5.9,48.0,73.0,47.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.6,48.0,56.0,86.0,87610917.10182768,7.6,48.0,56.0,86.0,7.6,48.0,56.0,86.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.4,44.0,22.0,46.0,28951462.146223333,6.4399999999999995,45.4,33.4,52.2,6.4,44.0,22.0,46.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.7,40.0,44.0,44.0,21948857.51447692,5.7,40.0,44.0,44.0,5.7,40.0,44.0,44.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.3,39.0,25.0,47.0,59101196.32433682,6.500000000000001,49.5,49.333333333333336,59.166666666666664,6.216666666666666,48.333333333333336,43.333333333333336,53.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.5,68.0,86.0,61.0,35750.057099707745,6.5,68.0,86.0,61.0,6.5,68.0,86.0,61.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.3,52.0,71.0,61.0,53260321.57395409,6.05,51.5,59.5,61.5,6.3,52.0,71.0,61.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.7,47.0,18.0,36.0,14022373.92254564,6.35,52.0,39.0,45.5,5.7,47.0,18.0,36.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.8,60.0,66.0,62.0,11135177.748547437,6.8,60.0,66.0,62.0,6.8,60.0,66.0,62.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
